ingr_name,ingr_id,cal/g,fat(g),carb(g),protein(g),calorie_density_category,macro_dominant
cottage cheese,ingr_0000000001,0.98,0.043,0.034,0.11,Rendah (<1 kkal/g),Protein
strawberries,ingr_0000000002,0.33,0.003,0.08,0.007,Rendah (<1 kkal/g),Karbohidrat
garden salad,ingr_0000000003,0.646,0.034,0.032,0.061,Rendah (<1 kkal/g),Protein
bacon,ingr_0000000004,5.41,0.42,0.014,0.37,Tinggi (3-6 kkal/g),Lemak
potatoes,ingr_0000000005,0.77,0.001,0.17,0.02,Rendah (<1 kkal/g),Karbohidrat
caesar salad,ingr_0000000006,0.44,0.021,0.043,0.032,Rendah (<1 kkal/g),Karbohidrat
cauliflower,ingr_0000000007,0.25,0.003,0.05,0.018,Rendah (<1 kkal/g),Karbohidrat
scrambled eggs,ingr_0000000008,1.48,0.11,0.016,0.1,Sedang (1-3 kkal/g),Lemak
wild rice,ingr_0000000009,1.19,0.004,0.25,0.05,Sedang (1-3 kkal/g),Karbohidrat
steak,ingr_0000000010,2.71,0.19,0.0,0.25,Sedang (1-3 kkal/g),Protein
cheese pizza,ingr_0000000011,2.659,0.094,0.335,0.112,Sedang (1-3 kkal/g),Karbohidrat
olives,ingr_0000000012,1.15,0.107,0.063,0.008,Sedang (1-3 kkal/g),Lemak
berries,ingr_0000000013,0.57,0.003,0.14,0.007,Rendah (<1 kkal/g),Karbohidrat
asparagus,ingr_0000000014,0.204,0.001,0.039,0.022,Rendah (<1 kkal/g),Karbohidrat
hash browns,ingr_0000000015,3.26,0.22,0.32,0.026,Tinggi (3-6 kkal/g),Karbohidrat
brussels sprouts,ingr_0000000016,0.43,0.003,0.09,0.034,Rendah (<1 kkal/g),Karbohidrat
pasta salad,ingr_0000000017,2.015,0.119,0.173,0.059,Sedang (1-3 kkal/g),Karbohidrat
turkey,ingr_0000000018,1.89,0.07,0.001,0.29,Sedang (1-3 kkal/g),Protein
bread,ingr_0000000019,2.654,0.042,0.423,0.135,Sedang (1-3 kkal/g),Karbohidrat
duck,ingr_0000000020,3.37,0.28,0.0,0.19,Tinggi (3-6 kkal/g),Lemak
squash,ingr_0000000021,0.205,0.003,0.034,0.009,Rendah (<1 kkal/g),Karbohidrat
guacamole,ingr_0000000022,2.0,0.171,0.086,0.029,Sedang (1-3 kkal/g),Lemak
brown rice,ingr_0000000023,1.11,0.009,0.23,0.026,Sedang (1-3 kkal/g),Karbohidrat
artic char,ingr_0000000024,1.54,0.081,0.0,0.2,Sedang (1-3 kkal/g),Protein
beef,ingr_0000000025,2.5,0.15,0.0,0.26,Sedang (1-3 kkal/g),Protein
white rice,ingr_0000000026,1.3,0.003,0.28,0.027,Sedang (1-3 kkal/g),Karbohidrat
broccoli,ingr_0000000027,0.35,0.004,0.07,0.024,Rendah (<1 kkal/g),Karbohidrat
chicken,ingr_0000000028,1.65,0.036,0.0,0.31,Sedang (1-3 kkal/g),Protein
mixed greens,ingr_0000000029,0.28,0.004,0.053,0.022,Rendah (<1 kkal/g),Karbohidrat
lettuce,ingr_0000000030,0.15,0.002,0.029,0.014,Rendah (<1 kkal/g),Karbohidrat
cucumbers,ingr_0000000031,0.1,0.0,0.02,0.01,Rendah (<1 kkal/g),Karbohidrat
tomatoes,ingr_0000000032,0.34,0.007,0.068,0.007,Rendah (<1 kkal/g),Karbohidrat
bell peppers,ingr_0000000033,0.4,0.002,0.09,0.02,Rendah (<1 kkal/g),Karbohidrat
celery,ingr_0000000034,0.16,0.002,0.034,0.007,Rendah (<1 kkal/g),Karbohidrat
blue cheese,ingr_0000000035,3.53,0.29,0.023,0.21,Tinggi (3-6 kkal/g),Lemak
spinach (raw),ingr_0000000036,0.23,0.004,0.036,0.029,Rendah (<1 kkal/g),Karbohidrat
cantaloupe,ingr_0000000037,0.34,0.002,0.08,0.008,Rendah (<1 kkal/g),Karbohidrat
pineapple,ingr_0000000038,0.5,0.001,0.13,0.005,Rendah (<1 kkal/g),Karbohidrat
sausage,ingr_0000000039,3.446,0.273,0.042,0.193,Tinggi (3-6 kkal/g),Lemak
raspberries,ingr_0000000040,0.53,0.007,0.12,0.012,Rendah (<1 kkal/g),Karbohidrat
blackberries,ingr_0000000041,0.43,0.005,0.092,0.014,Rendah (<1 kkal/g),Karbohidrat
avocado,ingr_0000000042,1.6,0.15,0.09,0.02,Sedang (1-3 kkal/g),Lemak
green beans,ingr_0000000043,0.31,0.001,0.07,0.018,Rendah (<1 kkal/g),Karbohidrat
bean sprouts,ingr_0000000044,0.3,0.002,0.059,0.03,Rendah (<1 kkal/g),Karbohidrat
carrot,ingr_0000000045,0.41,0.002,0.1,0.009,Rendah (<1 kkal/g),Karbohidrat
mushroom,ingr_0000000046,0.22,0.003,0.033,0.031,Rendah (<1 kkal/g),Karbohidrat
corn,ingr_0000000047,0.96,0.015,0.21,0.034,Rendah (<1 kkal/g),Karbohidrat
ham,ingr_0000000048,1.45,0.06,0.015,0.21,Sedang (1-3 kkal/g),Protein
fish,ingr_0000000049,0.9,0.13,0.0,0.184,Rendah (<1 kkal/g),Protein
tofu,ingr_0000000050,0.73,0.048,0.019,0.08,Rendah (<1 kkal/g),Protein
shrimp,ingr_0000000051,0.99,0.003,0.002,0.24,Rendah (<1 kkal/g),Protein
cheese,ingr_0000000052,4.02,0.33,0.013,0.25,Tinggi (3-6 kkal/g),Lemak
nuts,ingr_0000000053,6.07,0.54,0.21,0.2,Sangat Tinggi (>6 kkal/g),Lemak
apple,ingr_0000000054,0.52,0.002,0.14,0.003,Rendah (<1 kkal/g),Karbohidrat
banana,ingr_0000000055,0.89,0.003,0.23,0.011,Rendah (<1 kkal/g),Karbohidrat
kiwi,ingr_0000000056,0.61,0.005,0.15,0.011,Rendah (<1 kkal/g),Karbohidrat
lemon,ingr_0000000057,0.29,0.003,0.09,0.011,Rendah (<1 kkal/g),Karbohidrat
orange,ingr_0000000058,0.47,0.001,0.12,0.009,Rendah (<1 kkal/g),Karbohidrat
oatmeal,ingr_0000000059,0.68,0.014,0.12,0.024,Rendah (<1 kkal/g),Karbohidrat
tortilla,ingr_0000000060,2.18,0.029,0.45,0.06,Sedang (1-3 kkal/g),Karbohidrat
potato chips,ingr_0000000061,5.36,0.35,0.53,0.07,Tinggi (3-6 kkal/g),Karbohidrat
noodles,ingr_0000000062,1.38,0.021,0.25,0.045,Sedang (1-3 kkal/g),Karbohidrat
bean(seed) ,ingr_0000000063,1.4,0.006,0.24,0.09,Sedang (1-3 kkal/g),Karbohidrat
alcohol,ingr_0000000064,0.431,0.0,0.036,0.005,Rendah (<1 kkal/g),Karbohidrat
grape juice,ingr_0000000065,0.67,0.004,0.17,0.006,Rendah (<1 kkal/g),Karbohidrat
ground beef,ingr_0000000066,3.321,0.295,0.0,0.142,Tinggi (3-6 kkal/g),Lemak
syrup,ingr_0000000067,2.6,0.001,0.67,0.0,Sedang (1-3 kkal/g),Karbohidrat
grapefruits,ingr_0000000068,0.42,0.001,0.11,0.008,Rendah (<1 kkal/g),Karbohidrat
fruit punch,ingr_0000000069,0.45,0.0,0.125,0.0,Rendah (<1 kkal/g),Karbohidrat
figs,ingr_0000000070,2.75,0.0,0.65,0.025,Sedang (1-3 kkal/g),Karbohidrat
macaroni and cheese,ingr_0000000071,1.64,0.05,0.23,0.07,Sedang (1-3 kkal/g),Karbohidrat
kale,ingr_0000000072,0.49,0.007,0.09,0.033,Rendah (<1 kkal/g),Karbohidrat
radishes,ingr_0000000073,0.16,0.001,0.034,0.007,Rendah (<1 kkal/g),Karbohidrat
pasta,ingr_0000000074,1.316,0.011,0.248,0.051,Sedang (1-3 kkal/g),Karbohidrat
refried beans,ingr_0000000075,0.918,0.012,0.152,0.052,Rendah (<1 kkal/g),Karbohidrat
brisket,ingr_0000000076,1.552,0.072,0.0,0.21,Sedang (1-3 kkal/g),Protein
almonds,ingr_0000000077,5.781,0.495,0.227,0.224,Tinggi (3-6 kkal/g),Lemak
protein powder,ingr_0000000078,4.0,0.033,0.1,0.8,Tinggi (3-6 kkal/g),Protein
okra,ingr_0000000079,0.328,0.002,0.072,0.019,Rendah (<1 kkal/g),Karbohidrat
turkey bacon,ingr_0000000080,3.797,0.281,0.031,0.291,Tinggi (3-6 kkal/g),Protein
pickles,ingr_0000000081,0.11,0.002,0.023,0.003,Rendah (<1 kkal/g),Karbohidrat
pecans,ingr_0000000082,6.9,0.72,0.14,0.09,Sangat Tinggi (>6 kkal/g),Lemak
muenster cheese,ingr_0000000083,3.675,0.296,0.011,0.239,Tinggi (3-6 kkal/g),Lemak
brie cheese,ingr_0000000084,3.334,0.28,0.005,0.21,Tinggi (3-6 kkal/g),Lemak
apple juice,ingr_0000000085,0.46,0.001,0.11,0.001,Rendah (<1 kkal/g),Karbohidrat
raisin bran,ingr_0000000086,3.14,0.027,0.77,0.08,Tinggi (3-6 kkal/g),Karbohidrat
coleslaw,ingr_0000000087,1.523,0.097,0.148,0.01,Sedang (1-3 kkal/g),Karbohidrat
margarine,ingr_0000000088,7.17,0.81,0.007,0.002,Sangat Tinggi (>6 kkal/g),Lemak
spaghetti,ingr_0000000089,1.58,0.009,0.31,0.06,Sedang (1-3 kkal/g),Karbohidrat
ground pork,ingr_0000000090,3.93,0.33,0.014,0.23,Tinggi (3-6 kkal/g),Lemak
herring,ingr_0000000091,0.859,0.059,0.032,0.047,Rendah (<1 kkal/g),Lemak
wine,ingr_0000000092,0.85,0.0,0.026,0.001,Rendah (<1 kkal/g),Karbohidrat
alfalfa,ingr_0000000093,0.29,0.007,0.038,0.04,Rendah (<1 kkal/g),Protein
onions,ingr_0000000094,0.4,0.001,0.09,0.011,Rendah (<1 kkal/g),Karbohidrat
artichokes,ingr_0000000095,0.47,0.002,0.11,0.033,Rendah (<1 kkal/g),Karbohidrat
mussels,ingr_0000000096,1.718,0.045,0.07,0.238,Sedang (1-3 kkal/g),Protein
falafel,ingr_0000000097,3.341,0.178,0.307,0.133,Tinggi (3-6 kkal/g),Karbohidrat
multigrain bread,ingr_0000000098,2.857,0.092,0.49,0.041,Sedang (1-3 kkal/g),Karbohidrat
marshmallows,ingr_0000000099,3.18,0.002,0.81,0.018,Tinggi (3-6 kkal/g),Karbohidrat
oats,ingr_0000000100,3.89,0.069,0.663,0.169,Tinggi (3-6 kkal/g),Karbohidrat
leeks,ingr_0000000101,0.61,0.003,0.14,0.015,Rendah (<1 kkal/g),Karbohidrat
snow peas,ingr_0000000102,0.81,0.004,0.14,0.05,Rendah (<1 kkal/g),Karbohidrat
pretzels,ingr_0000000103,3.803,0.026,0.804,0.101,Tinggi (3-6 kkal/g),Karbohidrat
strudels,ingr_0000000104,3.182,0.108,0.5,0.05,Tinggi (3-6 kkal/g),Karbohidrat
grilled chicken,ingr_0000000105,2.262,0.149,0.001,0.226,Sedang (1-3 kkal/g),Protein
half and half,ingr_0000000106,1.3,0.12,0.043,0.03,Sedang (1-3 kkal/g),Lemak
mixed nuts,ingr_0000000107,6.069,0.535,0.211,0.206,Sangat Tinggi (>6 kkal/g),Lemak
spring rolls,ingr_0000000108,1.543,0.08,0.043,0.162,Sedang (1-3 kkal/g),Protein
french toast,ingr_0000000109,2.292,0.109,0.248,0.078,Sedang (1-3 kkal/g),Karbohidrat
barbecue sauce,ingr_0000000110,1.72,0.006,0.41,0.008,Sedang (1-3 kkal/g),Karbohidrat
clams,ingr_0000000111,1.48,0.02,0.051,0.255,Sedang (1-3 kkal/g),Protein
honeydew melons,ingr_0000000112,0.36,0.001,0.09,0.005,Rendah (<1 kkal/g),Karbohidrat
ketchup,ingr_0000000113,1.12,0.002,0.26,0.013,Sedang (1-3 kkal/g),Karbohidrat
polenta,ingr_0000000114,3.7,0.018,0.79,0.07,Tinggi (3-6 kkal/g),Karbohidrat
lemonade,ingr_0000000115,0.4,0.0,0.1,0.001,Rendah (<1 kkal/g),Karbohidrat
mayonnaise,ingr_0000000116,6.8,0.75,0.006,0.01,Sangat Tinggi (>6 kkal/g),Lemak
tacos,ingr_0000000117,2.26,0.13,0.201,0.088,Sedang (1-3 kkal/g),Karbohidrat
eggnog,ingr_0000000118,0.878,0.042,0.08,0.046,Rendah (<1 kkal/g),Karbohidrat
tabouli,ingr_0000000119,0.85,0.045,0.107,0.021,Rendah (<1 kkal/g),Karbohidrat
gelatin,ingr_0000000120,0.618,0.0,0.141,0.012,Rendah (<1 kkal/g),Karbohidrat
watermelon,ingr_0000000121,0.3,0.002,0.076,0.006,Rendah (<1 kkal/g),Karbohidrat
garlic,ingr_0000000122,1.49,0.005,0.33,0.064,Sedang (1-3 kkal/g),Karbohidrat
crawfish,ingr_0000000123,0.77,0.01,0.0,0.16,Rendah (<1 kkal/g),Protein
walnuts,ingr_0000000124,6.533,0.642,0.139,0.151,Sangat Tinggi (>6 kkal/g),Lemak
octopus,ingr_0000000125,1.637,0.021,0.044,0.297,Sedang (1-3 kkal/g),Protein
mustard,ingr_0000000126,0.613,0.033,0.06,0.037,Rendah (<1 kkal/g),Karbohidrat
pastries,ingr_0000000127,5.508,0.384,0.452,0.072,Tinggi (3-6 kkal/g),Karbohidrat
egg whites,ingr_0000000128,0.52,0.002,0.007,0.1,Rendah (<1 kkal/g),Protein
raisins,ingr_0000000129,2.99,0.005,0.79,0.031,Sedang (1-3 kkal/g),Karbohidrat
rye bread,ingr_0000000130,2.586,0.032,0.482,0.086,Sedang (1-3 kkal/g),Karbohidrat
dark chocolate,ingr_0000000131,5.75,0.46,0.27,0.06,Tinggi (3-6 kkal/g),Lemak
croissants,ingr_0000000132,4.062,0.212,0.459,0.08,Tinggi (3-6 kkal/g),Karbohidrat
shallots,ingr_0000000133,0.2,0.002,0.033,0.015,Rendah (<1 kkal/g),Karbohidrat
biscuits,ingr_0000000134,3.525,0.162,0.447,0.07,Tinggi (3-6 kkal/g),Karbohidrat
tilapia,ingr_0000000135,1.288,0.027,0.0,0.261,Sedang (1-3 kkal/g),Protein
poached eggs,ingr_0000000136,1.425,0.092,0.008,0.125,Sedang (1-3 kkal/g),Protein
succotash,ingr_0000000137,0.99,0.01,0.2,0.05,Rendah (<1 kkal/g),Karbohidrat
seafood,ingr_0000000138,2.044,0.081,0.018,0.285,Sedang (1-3 kkal/g),Protein
egg rolls,ingr_0000000139,1.966,0.045,0.287,0.102,Sedang (1-3 kkal/g),Karbohidrat
caesar dressing,ingr_0000000140,0.441,0.021,0.043,0.032,Rendah (<1 kkal/g),Karbohidrat
tuna salad,ingr_0000000141,1.87,0.092,0.092,0.162,Sedang (1-3 kkal/g),Protein
india pale ale beer,ingr_0000000142,0.556,0.0,0.017,0.003,Rendah (<1 kkal/g),Karbohidrat
veal,ingr_0000000143,1.72,0.076,0.0,0.244,Sedang (1-3 kkal/g),Protein
sorbet,ingr_0000000144,1.24,0.005,0.267,0.019,Sedang (1-3 kkal/g),Karbohidrat
bison,ingr_0000000145,1.79,0.08,0.0,0.25,Sedang (1-3 kkal/g),Protein
scallops,ingr_0000000146,1.059,0.006,0.059,0.2,Sedang (1-3 kkal/g),Protein
turkey breast,ingr_0000000147,1.891,0.071,0.0,0.288,Sedang (1-3 kkal/g),Protein
parmesan cheese,ingr_0000000148,4.307,0.286,0.042,0.384,Tinggi (3-6 kkal/g),Protein
sushi,ingr_0000000149,1.43,0.004,0.299,0.043,Sedang (1-3 kkal/g),Karbohidrat
swordfish,ingr_0000000150,1.718,0.079,0.0,0.234,Sedang (1-3 kkal/g),Protein
agave nectar,ingr_0000000151,3.1,0.005,0.76,0.001,Tinggi (3-6 kkal/g),Karbohidrat
cabbage,ingr_0000000152,0.21,0.005,0.032,0.013,Rendah (<1 kkal/g),Karbohidrat
bulgur,ingr_0000000153,3.42,0.013,0.76,0.12,Tinggi (3-6 kkal/g),Karbohidrat
brown sugar,ingr_0000000154,3.8,0.0,0.98,0.001,Tinggi (3-6 kkal/g),Karbohidrat
chicken thighs,ingr_0000000155,1.772,0.083,0.0,0.239,Sedang (1-3 kkal/g),Protein
paella,ingr_0000000156,1.834,0.091,0.141,0.104,Sedang (1-3 kkal/g),Karbohidrat
colby cheese,ingr_0000000157,3.94,0.313,0.025,0.243,Tinggi (3-6 kkal/g),Lemak
gumbo,ingr_0000000158,0.867,0.033,0.098,0.041,Rendah (<1 kkal/g),Karbohidrat
apple cider,ingr_0000000159,0.462,0.001,0.113,0.001,Rendah (<1 kkal/g),Karbohidrat
chow mein,ingr_0000000160,4.611,0.184,0.676,0.108,Tinggi (3-6 kkal/g),Karbohidrat
olive oil,ingr_0000000161,8.84,1.0,0.0,0.0,Sangat Tinggi (>6 kkal/g),Lemak
parsnips,ingr_0000000162,0.75,0.003,0.18,0.012,Rendah (<1 kkal/g),Karbohidrat
kidney beans,ingr_0000000163,3.33,0.008,0.6,0.24,Tinggi (3-6 kkal/g),Karbohidrat
chowders,ingr_0000000164,0.99,0.062,0.076,0.031,Rendah (<1 kkal/g),Karbohidrat
skim milk,ingr_0000000165,0.34,0.001,0.049,0.034,Rendah (<1 kkal/g),Karbohidrat
grapefruit juice,ingr_0000000166,0.389,0.001,0.091,0.005,Rendah (<1 kkal/g),Karbohidrat
tamales,ingr_0000000167,1.528,0.06,0.181,0.062,Sedang (1-3 kkal/g),Karbohidrat
lasagna,ingr_0000000168,1.35,0.05,0.154,0.072,Sedang (1-3 kkal/g),Karbohidrat
whole wheat bread,ingr_0000000169,2.468,0.033,0.421,0.13,Sedang (1-3 kkal/g),Karbohidrat
gravy,ingr_0000000170,0.791,0.059,0.052,0.02,Rendah (<1 kkal/g),Lemak
almond butter,ingr_0000000171,6.086,0.555,0.187,0.209,Sangat Tinggi (>6 kkal/g),Lemak
cherry pie,ingr_0000000172,2.694,0.122,0.387,0.028,Sedang (1-3 kkal/g),Karbohidrat
chestnuts,ingr_0000000173,1.308,0.014,0.281,0.021,Sedang (1-3 kkal/g),Karbohidrat
bread crumbs,ingr_0000000174,3.95,0.051,0.713,0.132,Tinggi (3-6 kkal/g),Karbohidrat
apple pie,ingr_0000000175,2.367,0.11,0.345,0.018,Sedang (1-3 kkal/g),Karbohidrat
french dressing,ingr_0000000176,4.532,0.442,0.156,0.007,Tinggi (3-6 kkal/g),Lemak
tempeh,ingr_0000000177,1.929,0.109,0.093,0.188,Sedang (1-3 kkal/g),Protein
pies,ingr_0000000178,2.367,0.111,0.345,0.019,Sedang (1-3 kkal/g),Karbohidrat
eggs,ingr_0000000179,1.555,0.105,0.012,0.125,Sedang (1-3 kkal/g),Protein
rice noodles,ingr_0000000180,1.09,0.002,0.25,0.009,Sedang (1-3 kkal/g),Karbohidrat
milk shakes,ingr_0000000181,1.121,0.029,0.18,0.039,Sedang (1-3 kkal/g),Karbohidrat
soy yogurt,ingr_0000000182,1.014,0.019,0.173,0.037,Sedang (1-3 kkal/g),Karbohidrat
chips,ingr_0000000183,5.363,0.35,0.529,0.07,Tinggi (3-6 kkal/g),Karbohidrat
ravioli,ingr_0000000184,0.771,0.015,0.138,0.025,Rendah (<1 kkal/g),Karbohidrat
